Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
11.0,1,1,8.0,1,2.9317314170222324,3,5,3.0,7,1.0,13.0,0.0,1.0,1.0,130.57,0.0
10.0,0,1,11.0,0,2.0,1,5,3.0,1,0.0,14.0,1.0,1.0,3.0,135.0,0.0
5.0,1,1,14.0,1,3.0,4,0,1.0,3,1.0,15.0,5.0,5.0,11.0,196.43,0.0
6.0,1,1,12.0,2,3.0,5,2,1.0,10,0.0,25.0,2.0,2.0,4.51735087321388,221.79,0.0
28.0,0,1,14.0,1,2.0,4,1,4.0,2,1.0,15.0,2.0,2.960674157303371,0.0,235.77,0.0
0.0,1,3,16.0,1,2.0,4,0,5.0,10,0.0,17.0,4.0,6.0,0.0,203.06,1.0
14.0,1,1,15.68136813681368,2,2.0,3,5,3.0,10,1.0,12.0,0.0,2.0,7.0,124.61,1.0
0.0,1,1,17.0,1,3.0,5,2,4.0,6,0.0,15.0,1.0,1.0,0.0,147.77,1.0
14.0,1,1,8.0,2,3.0,4,3,1.0,10,0.0,20.0,2.0,2.0,1.0,149.06,0.0
9.0,1,1,12.0,2,2.9317314170222324,5,5,3.0,2,0.0,14.0,1.0,1.0,7.0,127.41,0.0
4.0,1,1,8.0,1,4.0,4,3,4.0,3,0.0,14.0,2.0,2.0,8.0,162.48,0.0
2.0,1,1,9.0,2,4.0,5,3,4.0,2,0.0,18.0,1.0,2.0,5.0,157.01,0.0
27.0,0,1,6.0,2,2.0,3,0,3.0,8,0.0,17.0,1.0,1.0,4.0,205.02,0.0
12.0,1,1,30.0,2,2.0,3,2,1.0,8,0.0,13.0,1.0,1.0,7.0,141.08,0.0
19.0,0,1,9.0,1,4.0,5,1,1.0,11,0.0,15.737864077669904,2.0,12.0,9.0,292.92,0.0
1.0,1,3,11.0,0,3.0,4,0,5.0,2,1.0,23.0,3.0,5.0,4.51735087321388,220.82,1.0
10.0,1,1,9.0,2,4.0,4,3,3.0,6,0.0,14.0,3.0,3.0,3.0,150.43,0.0
4.0,1,3,12.0,1,3.0,2,2,2.0,5,0.0,22.0,3.0,1.0,7.0,154.6,0.0
18.0,0,1,30.0,1,4.0,4,2,4.0,6,0.0,13.0,1.0,2.0,3.0,145.42,0.0
0.0,0,1,17.0,3,3.0,1,2,3.0,1,0.0,18.0,0.0,1.0,3.0,140.11,0.0
1.0,1,3,17.0,1,4.0,5,3,3.0,3,0.0,13.0,1.0,2.0,1.0,137.0,0.0
10.0,1,1,16.0,1,3.0,5,2,4.0,4,1.0,12.0,2.0,2.0,4.51735087321388,213.47,0.0
2.0,1,1,6.0,2,2.0,4,2,2.0,2,0.0,13.0,3.0,3.0,11.0,164.74,0.0
0.0,0,3,15.68136813681368,0,3.0,5,5,5.0,1,0.0,21.0,1.0,1.0,0.0,123.25,1.0
29.0,1,3,33.0,4,4.0,5,4,1.0,3,0.0,15.737864077669904,3.0,3.0,14.0,320.86,0.0
27.0,1,1,28.0,1,3.0,3,1,3.0,4,0.0,25.0,1.712427097353073,4.0,7.0,274.26,0.0
7.0,1,3,6.0,4,3.0,1,2,2.0,1,0.0,11.0,1.0,1.0,9.0,197.25,0.0
1.0,1,1,9.0,2,4.0,4,3,3.0,4,0.0,12.0,2.0,2.0,1.0,159.85,1.0
2.0,1,1,16.0,1,3.0,4,3,4.0,3,0.0,17.0,2.0,2.0,4.0,147.79,0.0
8.0,1,3,28.0,2,4.0,2,2,1.0,3,0.0,13.0,1.0,6.0,8.0,178.37,0.0
0.0,1,3,7.0,2,3.0,4,2,5.0,2,0.0,11.0,1.0,6.0,7.0,197.14,1.0
1.0,1,1,12.0,2,3.0,4,3,4.0,3,1.0,13.0,1.0,2.0,3.0,149.78,0.0
10.0,1,1,19.0,1,2.0,3,2,1.0,2,0.0,17.0,0.0,3.0,7.0,142.85,0.0
10.0,0,1,11.0,0,2.0,1,5,3.0,1,0.0,14.0,0.0,1.0,3.0,135.0,0.0
14.0,1,3,17.0,4,4.0,5,0,4.0,4,0.0,13.0,1.0,2.0,4.51735087321388,222.05,0.0
1.0,0,1,9.0,2,3.0,4,3,5.0,8,1.0,15.0,1.0,2.0,3.0,145.42,1.0
20.0,1,2,8.0,2,3.0,4,3,5.0,8,0.0,13.0,3.0,6.0,8.0,159.23,0.0
4.0,0,1,12.0,2,4.0,5,3,1.0,11,0.0,13.0,1.0,2.0,4.0,162.61,0.0
22.0,1,1,6.0,0,2.0,3,3,5.0,3,0.0,16.0,1.0,1.0,2.0,135.8,0.0
30.0,1,1,30.0,2,2.0,1,0,1.0,4,1.0,16.0,1.0,1.0,4.0,194.39,0.0
1.0,1,1,8.0,0,3.0,4,3,1.0,6,0.0,12.0,1.0,2.0,3.0,157.29,0.0
0.0,0,1,22.0,2,3.0,5,3,5.0,2,1.0,22.0,0.0,6.0,7.0,139.19,1.0
60.0,1,3,27.0,2,3.0,3,1,1.0,5,1.0,13.0,1.712427097353073,1.0,0.0,278.75,0.0
14.0,0,3,7.0,3,3.0,4,2,3.0,5,1.0,15.0,1.0,2.0,1.0,172.28,1.0
9.0,0,1,17.0,2,3.0,4,3,3.0,8,0.0,14.0,1.0,2.0,4.0,159.33,0.0
0.0,1,1,32.0,2,2.9317314170222324,3,5,1.0,2,0.0,12.0,0.0,1.0,2.0,129.04,0.0
1.0,1,1,9.0,3,4.0,5,3,3.066308662152697,8,1.0,16.0,1.0,2.0,1.0,145.9,1.0
8.0,0,1,26.0,1,3.0,4,2,4.0,6,0.0,14.0,1.0,6.0,11.0,169.44,0.0
12.0,1,1,9.0,1,3.0,5,0,3.0,5,1.0,20.0,2.0,2.0,3.0,202.56,0.0
3.0,1,1,20.0,3,3.0,5,2,4.0,6,1.0,14.0,2.0,2.0,4.0,165.25,0.0
0.0,0,3,25.0,4,3.0,2,2,2.0,9,1.0,13.0,1.0,1.0,4.0,153.04,1.0
5.0,1,3,14.0,1,2.0,1,2,2.0,2,0.0,15.0,0.0,1.0,8.0,162.09,0.0
4.0,1,3,36.0,2,4.0,4,2,5.0,10,0.0,20.0,2.0,2.0,4.0,166.15,0.0
5.0,0,1,19.0,3,3.0,4,5,4.0,2,0.0,20.0,2.0,2.0,2.0,134.0,0.0
10.239954853273138,1,1,8.0,1,2.0,3,2,4.0,1,0.0,13.0,1.0,1.0,6.0,154.7,0.0
21.0,0,1,23.0,1,4.0,2,2,3.0,3,1.0,20.0,1.0,3.0,8.0,175.67,0.0
10.0,0,3,17.0,1,3.0,4,0,2.0,3,0.0,15.0,2.0,10.0,4.51735087321388,224.8,0.0
3.0,1,3,26.0,2,4.0,5,2,3.0,3,0.0,15.0,2.0,2.0,4.51735087321388,211.2,0.0
2.0,1,3,8.0,1,3.0,4,2,4.0,3,0.0,19.0,0.0,1.0,0.0,166.44,0.0
14.0,0,3,14.0,0,2.0,3,5,3.066308662152697,4,0.0,14.0,1.0,1.0,3.0,177.3613898678414,1.0
2.0,1,1,24.0,1,4.0,4,2,5.0,3,0.0,13.0,1.0,2.0,9.0,170.58,0.0
1.0,1,3,11.0,2,3.0,5,2,2.0,3,1.0,12.0,1.0,2.0,4.0,169.87,0.0
27.0,1,1,15.0,2,3.0,3,2,3.0,4,0.0,11.0,1.0,2.0,3.0,128.97,0.0
16.0,0,1,28.0,1,3.0,4,2,3.0,4,0.0,17.0,1.0,2.0,3.0,177.65,0.0
11.0,1,1,17.0,2,3.0,4,3,3.066308662152697,2,1.0,14.0,4.0,5.0,4.0,152.82,0.0
20.0,1,1,25.0,1,3.0,4,2,3.0,4,0.0,15.0,2.0,2.0,9.0,173.1,0.0
7.0,1,2,9.0,3,2.0,3,3,1.0,1,0.0,19.0,1.0,1.0,2.0,137.37,0.0
8.0,0,3,14.0,4,3.0,4,0,1.0,5,1.0,11.0,3.0,4.0,12.0,203.77,0.0
1.0,0,1,16.0,2,3.0,5,3,4.0,3,0.0,12.0,2.0,2.0,1.0,151.94,0.0
2.0,1,3,10.0,1,4.0,4,3,4.0,3,0.0,20.0,2.0,2.0,1.0,153.56,0.0
21.0,1,3,13.0,4,3.0,3,2,5.0,5,0.0,11.0,0.0,2.0,2.0,154.86,0.0
4.0,1,1,26.0,2,2.0,3,2,3.0,2,0.0,11.0,0.0,1.0,2.0,141.97,0.0
17.0,0,3,16.0,2,3.0,6,1,3.0,9,0.0,12.0,2.0,2.960674157303371,11.0,254.36,1.0
8.0,0,1,29.0,3,3.0,5,2,1.0,3,1.0,16.0,4.0,7.0,12.0,182.47,0.0
12.0,1,1,13.0,3,3.0,5,3,3.0,3,0.0,12.0,2.0,2.0,5.0,162.02,0.0
6.0,1,1,13.0,2,3.0,4,3,3.0,5,0.0,21.0,1.0,2.0,5.0,155.38,0.0
1.0,1,3,11.0,4,3.0,5,2,2.0,3,1.0,13.0,8.0,8.0,5.0,183.28,1.0
0.0,1,3,10.0,4,2.0,4,2,3.066308662152697,2,1.0,12.0,4.0,7.0,4.0,158.28,1.0
1.0,1,3,16.0,2,3.0,5,3,5.0,9,0.0,24.0,1.0,2.0,4.0,159.07,1.0
7.0,0,1,25.0,1,2.0,3,2,4.0,5,0.0,13.0,3.0,5.0,10.0,144.44,0.0
2.0,1,1,15.68136813681368,1,3.0,4,5,2.0,7,0.0,14.0,1.0,2.0,3.0,125.32,0.0
14.0,1,2,6.0,3,2.0,4,4,3.0,2,0.0,12.0,1.712427097353073,2.0,10.0,291.89,0.0
1.0,1,3,9.0,1,3.0,2,2,3.0,2,0.0,15.0,1.0,2.0,8.0,190.0,0.0
16.0,1,2,9.0,0,3.0,4,3,3.0,2,1.0,12.0,2.0,2.0,1.0,151.96,0.0
18.0,1,3,17.0,2,2.0,3,1,1.0,4,0.0,13.0,1.712427097353073,1.0,1.0,276.5,0.0
9.0,1,3,7.0,1,4.0,4,2,3.0,3,0.0,17.0,1.0,2.0,4.0,173.59,0.0
10.239954853273138,0,1,16.0,1,3.0,4,3,4.0,2,1.0,25.0,0.0,1.0,0.0,118.59,1.0
20.0,1,3,11.0,4,3.0,5,4,4.0,4,0.0,15.737864077669904,2.0,2.0,9.0,312.89,0.0
7.0,1,1,6.0,2,2.9317314170222324,3,5,1.0,2,0.0,12.0,1.0,8.0,8.0,126.91,0.0
11.0,0,3,16.0,0,2.0,3,2,1.0,2,1.0,13.0,1.0,1.0,3.0,156.66,0.0
8.0,0,3,17.0,2,3.0,4,2,3.0,3,1.0,15.0,2.0,2.0,8.0,165.01,0.0
25.0,1,1,5.0,2,2.0,3,0,4.0,8,0.0,19.0,2.0,4.0,0.0,204.45,0.0
7.0,0,1,28.0,3,2.0,4,2,1.0,2,1.0,15.0,3.0,6.0,11.0,157.47,0.0
1.0,1,1,20.0,2,3.0,4,3,1.0,5,0.0,19.0,2.0,2.0,3.0,159.52,0.0
3.0,1,2,13.0,1,3.0,5,3,4.0,3,0.0,12.0,2.0,2.0,1.0,153.04,0.0
7.0,0,3,14.0,1,3.0,4,2,5.0,2,0.0,15.0,1.0,2.0,4.0,168.73,0.0
27.0,1,3,9.0,1,2.0,4,1,3.0,8,0.0,14.0,1.712427097353073,16.0,3.0,273.52,0.0
15.0,1,1,21.0,2,3.0,4,3,3.0,6,0.0,13.0,2.0,2.0,9.0,149.51,0.0
19.0,0,3,16.0,2,4.0,5,2,3.0,3,0.0,14.0,1.0,5.0,13.0,180.93,0.0
7.0,1,1,7.0,1,4.0,3,1,3.0,6,0.0,20.0,1.712427097353073,2.0,6.0,286.84,0.0
1.0,1,1,32.0,2,3.0,2,3,1.0,3,1.0,13.0,1.0,2.0,2.0,154.94,0.0
5.0,1,3,13.0,2,3.0,4,2,3.0,2,0.0,14.0,3.0,4.0,8.0,154.84,0.0
27.0,1,1,10.0,1,3.0,4,1,3.0,5,1.0,15.737864077669904,1.0,2.0,4.0,300.84,0.0
28.0,1,3,35.0,2,4.0,5,3,3.0,2,0.0,24.0,3.0,5.0,3.0,149.3,0.0
3.0,0,1,6.0,1,2.0,3,2,1.0,2,0.0,23.0,1.0,3.0,7.0,140.11,0.0
8.0,1,1,17.0,2,3.0,4,3,4.0,3,0.0,15.0,2.0,2.0,1.0,145.08,0.0
10.239954853273138,0,3,26.0,0,2.0,3,5,1.0,2,0.0,15.0,0.0,1.0,2.0,121.57,0.0
6.0,1,3,15.0,0,4.0,5,2,4.0,3,1.0,12.0,12.0,12.0,10.0,177.28,0.0
13.0,1,1,8.0,2,2.9317314170222324,4,5,3.0,3,0.0,14.0,0.0,2.0,2.0,128.09,0.0
24.0,0,1,15.68136813681368,1,3.0,3,5,3.066308662152697,2,0.0,20.0,0.0,5.0,7.0,125.7,0.0
12.0,0,1,6.0,2,2.0,3,4,3.066308662152697,2,1.0,14.0,0.0,1.0,6.0,291.97,0.0
12.0,1,3,21.0,4,3.0,3,1,5.0,1,0.0,12.0,4.0,2.960674157303371,10.0,233.41000000000005,0.0
15.0,1,3,20.0,1,3.0,4,2,3.066308662152697,8,0.0,17.0,1.0,1.0,3.0,162.44,0.0
11.0,0,1,7.0,1,4.0,4,0,1.0,4,1.0,19.0,1.712427097353073,2.0,3.0,261.03,0.0
0.0,0,1,17.0,2,3.0,2,2,1.0,3,0.0,14.0,4.0,8.0,3.0,172.24,0.0
9.0,1,1,11.0,2,2.0,3,0,5.0,5,0.0,12.0,1.0,1.0,2.0,180.08,0.0
25.0,0,3,9.0,4,3.0,4,0,4.0,4,0.0,12.0,1.0,4.0,4.51735087321388,230.96,0.0
12.0,1,3,7.0,2,3.0,4,2,4.0,2,0.0,16.0,5.0,6.0,9.0,169.4,0.0
1.0,1,1,10.0,2,3.0,4,3,1.0,3,0.0,22.0,2.0,2.0,1.0,145.61,0.0
18.0,1,1,34.0,0,2.0,4,1,4.0,2,0.0,11.0,1.712427097353073,8.0,6.0,267.04,0.0
1.0,1,1,6.0,2,3.0,5,3,3.0,3,0.0,13.0,1.0,2.0,3.0,155.33,0.0
21.0,0,1,10.0,1,2.0,4,1,1.0,3,0.0,25.0,2.0,2.960674157303371,2.0,252.02,0.0
14.0,1,1,9.0,2,1.0,5,5,3.066308662152697,4,0.0,15.0,1.0,3.0,3.0,177.3613898678414,0.0
6.0,1,3,7.0,1,4.0,5,3,4.0,2,0.0,15.0,1.0,3.0,3.0,147.69,0.0
11.0,0,3,26.0,1,3.0,4,0,4.0,3,1.0,14.0,1.0,2.0,10.0,201.42,0.0
1.0,0,3,8.0,2,2.0,5,2,2.0,4,0.0,20.0,1.0,1.0,0.0,150.71,0.0
17.0,1,3,11.0,4,2.0,3,4,4.0,8,0.0,11.0,1.712427097353073,3.0,10.0,282.13,0.0
15.0,1,1,35.0,1,2.0,5,2,3.066308662152697,5,0.0,19.0,1.0,1.0,0.0,142.72,0.0
22.0,1,1,27.0,1,3.0,4,3,3.0,6,0.0,18.0,1.0,2.0,1.0,147.59,0.0
1.0,0,3,15.68136813681368,1,2.0,3,5,2.0,1,0.0,13.0,0.0,2.0,1.0,124.0,0.0
10.0,1,1,28.0,1,4.0,4,2,4.0,6,0.0,23.0,4.0,4.0,4.51735087321388,214.26,1.0
1.0,1,1,15.0,2,4.0,6,3,5.0,3,0.0,16.0,1.0,2.0,2.0,149.51,0.0
18.0,1,1,14.0,1,3.0,4,4,1.0,2,1.0,15.737864077669904,1.0,2.0,11.0,315.49,0.0
10.0,1,3,10.0,4,4.0,4,2,4.0,5,1.0,17.0,1.0,2.0,4.51735087321388,217.78,0.0
29.0,1,1,9.0,1,3.0,5,4,5.0,10,0.0,15.737864077669904,2.0,2.0,1.0,315.38,0.0
31.0,0,3,9.0,1,3.0,4,1,4.0,6,0.0,23.0,1.712427097353073,9.0,15.0,287.91,0.0
1.0,1,1,12.0,2,3.0,4,3,4.0,3,1.0,13.0,1.0,2.0,3.0,149.78,0.0
5.0,1,1,16.0,2,3.0,4,0,4.0,3,0.0,26.0,1.0,2.0,9.0,231.48,0.0
16.0,0,1,9.0,2,3.0,4,1,3.0,2,1.0,15.737864077669904,1.0,3.0,11.0,303.61,0.0
0.0,0,3,15.68136813681368,4,2.0,3,5,2.0,2,1.0,14.0,0.0,1.0,2.0,123.23,1.0
26.0,1,1,15.0,3,3.0,4,3,5.0,11,0.0,14.0,2.0,2.0,5.0,154.5,0.0
10.0,1,3,27.0,4,3.0,3,2,1.0,1,1.0,22.0,0.0,1.0,0.0,154.41,0.0
24.0,0,1,9.0,2,4.0,4,1,5.0,3,0.0,15.737864077669904,14.0,15.0,8.0,304.24,0.0
10.239954853273138,1,1,6.0,0,2.0,3,5,3.0,1,0.0,14.0,0.0,1.0,5.0,120.58,1.0
15.0,1,3,10.0,4,2.0,3,2,5.0,8,0.0,13.0,1.0,1.0,5.0,151.55,0.0
1.0,1,1,32.0,2,3.0,6,3,3.0,3,0.0,13.0,1.0,2.0,2.0,147.93,1.0
1.0,1,1,17.0,1,4.0,2,3,3.0,3,0.0,19.0,1.0,2.0,3.0,160.05,0.0
14.0,0,1,33.0,1,4.0,5,2,1.0,5,1.0,14.0,1.0,2.0,1.0,169.22,0.0
4.0,1,3,14.0,4,3.0,4,3,4.0,2,0.0,15.0,2.0,2.0,3.0,154.83,0.0
19.0,1,1,6.0,1,3.0,3,0,5.0,8,0.0,16.0,0.0,1.0,3.0,193.96,0.0
12.0,0,2,9.0,3,4.0,4,3,4.0,7,0.0,14.0,3.0,4.0,9.0,150.92,0.0
17.0,0,2,7.0,3,2.0,3,2,1.0,5,1.0,11.0,1.0,1.0,2.0,157.43,0.0
3.0,0,1,15.0,1,2.9317314170222324,3,2,5.0,2,0.0,11.0,0.0,6.0,10.0,130.72,0.0
1.0,1,1,10.0,2,3.0,4,2,3.0,2,1.0,20.0,2.0,2.0,3.0,166.71,1.0
13.0,0,1,22.0,1,2.0,4,2,3.0,7,0.0,14.0,0.0,1.0,0.0,150.94,0.0
1.0,0,1,32.0,2,4.0,4,3,4.0,3,1.0,20.0,1.0,8.0,9.0,145.22,1.0
3.0,1,1,32.0,2,3.0,4,3,5.0,3,0.0,15.0,2.0,2.0,5.0,157.11,0.0
6.0,1,1,13.0,1,2.0,3,0,3.066308662152697,1,0.0,11.0,1.0,3.0,4.51735087321388,177.3613898678414,0.0
12.0,1,1,32.0,2,3.0,5,0,4.0,5,0.0,18.0,2.0,2.960674157303371,2.0,245.61,0.0
10.0,1,3,9.0,2,2.0,3,0,1.0,3,0.0,12.0,0.0,1.0,3.0,174.28,0.0
22.0,1,1,11.0,0,3.0,3,2,3.0,3,0.0,14.0,0.0,1.0,2.0,166.51,0.0
1.0,1,3,9.0,4,3.0,4,3,5.0,2,0.0,12.0,1.0,2.0,3.0,155.41,1.0
0.0,0,1,9.0,0,2.9317314170222324,3,5,5.0,1,0.0,22.0,0.0,1.0,4.0,131.02,1.0
11.0,1,1,6.0,2,2.0,2,2,2.0,1,0.0,13.0,1.0,1.0,8.0,176.25,0.0
10.0,0,3,11.0,4,3.0,4,2,4.0,3,0.0,19.0,8.0,8.0,4.51735087321388,218.55,1.0
19.0,0,1,6.0,1,2.0,4,0,5.0,3,1.0,13.0,4.0,15.0,5.0,206.73,0.0
13.0,1,1,21.0,2,2.9317314170222324,4,0,3.0,2,0.0,13.0,1.0,14.0,12.0,204.35,0.0
2.0,1,1,10.0,1,4.0,4,5,3.066308662152697,2,0.0,18.0,1.0,2.0,8.0,177.3613898678414,0.0
7.0,1,1,16.0,2,2.9317314170222324,3,5,3.0,2,1.0,11.0,1.0,1.0,2.0,129.36,1.0
11.0,0,1,9.0,3,2.9317314170222324,3,5,3.0,4,0.0,16.0,2.0,2.0,2.0,128.21,0.0
12.0,1,3,14.0,1,3.0,2,5,3.066308662152697,3,0.0,25.0,5.0,8.0,8.0,177.3613898678414,0.0
20.0,1,1,15.68136813681368,0,2.0,3,5,3.0,5,0.0,24.0,1.0,1.0,0.0,124.79,1.0
13.0,1,1,15.68136813681368,2,2.0,3,5,4.0,4,0.0,22.0,1.0,1.0,3.0,123.87,0.0
14.0,1,1,15.0,2,4.0,4,5,3.066308662152697,4,0.0,17.0,1.0,2.0,1.0,177.3613898678414,0.0
10.239954853273138,1,1,34.0,0,3.0,3,5,1.0,5,0.0,20.0,1.0,1.0,3.0,121.32,0.0
16.0,1,3,21.0,1,3.0,5,2,3.0,9,0.0,18.0,1.0,2.0,4.0,187.44,0.0
10.239954853273138,0,1,31.0,0,2.0,4,2,1.0,4,0.0,21.0,1.0,2.0,5.0,177.38,0.0
20.0,1,1,8.0,2,2.0,3,4,4.0,8,1.0,15.737864077669904,5.0,13.0,8.0,292.46,1.0
12.0,1,3,9.0,4,3.0,4,0,4.0,9,0.0,17.0,2.0,2.0,1.0,198.51,0.0
1.0,1,3,22.0,1,3.0,6,2,1.0,8,1.0,15.0,2.0,3.0,3.0,179.4,1.0
0.0,0,1,15.68136813681368,1,2.0,4,5,5.0,1,1.0,22.0,0.0,1.0,2.0,123.21,1.0
17.0,0,1,8.0,1,2.0,3,0,3.0,6,1.0,18.0,0.0,2.0,2.0,202.09,0.0
6.0,1,1,6.0,1,3.0,2,1,3.0,5,0.0,19.0,1.712427097353073,1.0,5.0,261.84,0.0
8.0,1,1,8.0,2,3.0,4,2,1.0,11,0.0,18.0,1.0,3.0,2.0,179.84,0.0
14.0,0,1,7.0,1,3.0,4,2,1.0,3,0.0,24.0,2.0,4.0,8.0,165.11,0.0
6.0,0,1,7.0,0,4.0,4,2,3.066308662152697,6,0.0,15.0,2.0,2.0,3.0,165.87,0.0
11.0,1,1,24.0,1,2.0,5,2,1.0,4,1.0,16.0,0.0,1.0,0.0,158.11,0.0
0.0,1,1,8.0,2,2.0,3,2,1.0,1,0.0,18.0,2.0,2.0,2.0,142.27,0.0
3.0,1,3,17.0,4,3.0,5,2,4.0,3,1.0,15.0,2.0,2.0,8.0,207.68,0.0
15.0,0,3,17.0,2,3.0,4,2,1.0,9,0.0,15.0,1.0,2.0,11.0,187.3,0.0
10.0,1,1,13.0,1,1.0,3,0,3.0,5,0.0,13.0,0.0,2.960674157303371,2.0,236.64,0.0
7.0,0,3,23.0,2,3.0,4,2,1.0,3,1.0,26.0,1.0,2.0,3.0,178.68,0.0
5.0,1,3,16.0,4,3.0,4,0,1.0,3,1.0,19.0,0.0,1.0,2.0,190.71,0.0
5.0,1,1,11.0,3,2.0,1,5,1.0,4,0.0,17.0,1.0,1.0,2.0,133.12,0.0
4.0,1,1,24.0,1,4.0,4,0,5.0,3,1.0,24.0,2.0,2.960674157303371,9.0,244.16000000000005,0.0
